char_location,fragment,keyword,kw_start,metaphorical,project_id,type
1695.0,"the loss of my wife and how amazing she was in dealing with her chemotherapy and fighting cancer and always staying so strong and positive through it all."" After reading ",fighting,81.0,True,a199b3368a921f69bc5304c45897650f,battle
15825.0,"k to the pain of the present. I felt hot tears beginning to moisten my eyes as I fought with all my strength to hold them back. It was my turn to be the rock, my turn t",fought,81.0,False,a199b3368a921f69bc5304c45897650f,battle
139.0,"ss
and In Health. I believe my husband Luke and I went through this
hard, cancer journey for a reason. At age 26 Luke was diagnosed with
a very rare bone cancer. He went",journey,81.0,True,a199b3368a921f69bc5304c45897650f,journey
14935.0,"ead a bit of
that to others. In writing this book, I’ve probably earned myself a beating
from a monstrous, very famous MMA Fighter, and a hissy fit from an even more
fam",beating,81.0,False,a034469be45554c7f00590ea9d5aafe1,battle
10323.0," been written in their entirety in Word files,
on my slightly-used, increasingly beaten up, Dell Inspiron E1505. At a “massage parlor” in Bucharest, Romania,
at the Afr",beaten,81.0,False,a034469be45554c7f00590ea9d5aafe1,battle
14234.0,"sthesize"" more than I have ever before in my life and it’s put me on back
on the path to physical and emotional health, I path which I hope, and intend,
to continue t",path,81.0,False,a034469be45554c7f00590ea9d5aafe1,journey
14275.0," my life and it’s put me on back
on the path to physical and emotional health, I path which I hope, and intend,
to continue to walk with firm footing; it’s made me ha",path,81.0,False,a034469be45554c7f00590ea9d5aafe1,journey
14043.0,"gether. And I’m looking forward to it!It –writing this book—has been a hell of a
journey.It’s brought me to the depths
of despair, to the highest peaks of exhilaration; ",journey,81.0,False,a034469be45554c7f00590ea9d5aafe1,journey
15349.0,"e. So,
who gives a damn? Right? Indeed, writing Been There, Done That has been a journey,
just as life has been, and God-willing, continues to be, day-after-blessed-day.",journey,81.0,False,a034469be45554c7f00590ea9d5aafe1,journey
15488.0," to be, day-after-blessed-day. I wish you a safe, (relatively) sane and exciting
journey. And the desire, the commitment,
the conviction, to LIVE, and to write
YOUR stor",journey,81.0,False,a034469be45554c7f00590ea9d5aafe1,journey
363.0,"ight away. First off, I'm a breast cancer survivor. This doesn't mean that I've ""beaten"" cancer. I was originally diagnosed in 2006 with Stage IIB invasive ductal carci",beaten,81.0,True,5ef4ed8ae2b9683a9078e2c8d5e06537,battle
13.0,Surviving the Journey: Letters from the Railroad is an epistolary memoir in the making. About the auth,journey,14.0,False,5ef4ed8ae2b9683a9078e2c8d5e06537,journey
2529.0," trips I've taken both solo and with my husband, Merwyn. About the project: The ""journey"" in the title of my project has multiple meanings. There's cancer's metaphorical",journey,81.0,True,5ef4ed8ae2b9683a9078e2c8d5e06537,journey
2618.0," in the title of my project has multiple meanings. There's cancer's metaphorical journey that I found myself on almost five years ago at age 27. Unlike most journeys, I ",journey,81.0,True,5ef4ed8ae2b9683a9078e2c8d5e06537,journey
2891.0,"erpetually on board. For my project, I will embark on a physical (and spiritual) journey, by way of the American railroad. I'll travel across the country for about one m",journey,81.0,True,5ef4ed8ae2b9683a9078e2c8d5e06537,journey
3110.0,"riends, family members, and locations. Concurrently, I will reflect on my life's journey through a series of letters that I'll be writing along the way. These letters wi",journey,81.0,False,5ef4ed8ae2b9683a9078e2c8d5e06537,journey
3744.0,ss my letters to. Together the letters will fit like a puzzle to show how life's journey has led to today. From there I can plan what tomorrow might be. Why travel in or,journey,81.0,False,5ef4ed8ae2b9683a9078e2c8d5e06537,journey
4633.0,"  Finally, the train allows plenty of opportunity to meet new people, which is a journey in and of itself! Can't you just fly? Wouldn't that be easier/more convenient? N",journey,81.0,False,5ef4ed8ae2b9683a9078e2c8d5e06537,journey
1122.0,"lifestyle could help.  For example, I came up with a diet where every ingredient fights cancer and I eliminated foods that fuel tumor growth or cause cellular inflammat",fights,81.0,True,4759b267d1cbd90e3e297bbf3bdb7502,battle
2221.0,ce.  I’ve also included over 50 tasty recipes where every ingredient is a cancer-fighting food.  You can read sample chapters here: http://www.jefferyweaver.com/copy-of-b,fighting,81.0,True,4759b267d1cbd90e3e297bbf3bdb7502,battle
4740.0," goal, we need to supply the body with the nutrients it requires, maximizing its fighting capacity and mobilizing all its resources, giving it a fighting chance!”  —Simon",fighting,81.0,True,4759b267d1cbd90e3e297bbf3bdb7502,battle
4804.0,", maximizing its fighting capacity and mobilizing all its resources, giving it a fighting chance!”  —Simon Davies, PhD, Professor of Kinesiology and Health, Irvine Valley",fighting,81.0,False,4759b267d1cbd90e3e297bbf3bdb7502,battle
